"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"2736",2736,"2736",213.2298
"2737",2737,"2737",3345.6218
"2738",2738,"2738",2067.0259
"2739",2739,"2739",50.1706
"2745",2745,"2745",168.7607
"2747",2747,"2747",55.0667
"2748",2748,"2748",43.0734
"2749",2749,"2749",47.0935
"2750",2750,"2750",35.3701
"2752",2752,"2752",53.5689
"2753",2753,"2753",166.3876
"2754",2754,"2754",34.3251
"2755",2755,"2755",3.0543
"2756",2756,"2756",1486.8345
"2757",2757,"2757",8.3269
"2758",2758,"2758",572.1443
"2759",2759,"2759",15.5979
"2760",2760,"2760",19.9308
"2761",2761,"2761",14.7648
"2762",2762,"2762",13.8752
"2763",2763,"2763",10.7285
"2765",2765,"2765",130.746
"2766",2766,"2766",27.2385
"2767",2767,"2767",10.1088
"2768",2768,"2768",9.0193
"2769",2769,"2769",4.6535
"2770",2770,"2770",24.7303
"2773",2773,"2773",8.3936
"2774",2774,"2774",21.2999
"2775",2775,"2775",833.1402
"2776",2776,"2776",14.932
"2777",2777,"2777",54.7327
"2778",2778,"2778",20.9602
"2779",2779,"2779",12.4995
"2780",2780,"2780",38.4603
"2782",2782,"2782",21.0358
"2783",2783,"2783",7.2887
"2784",2784,"2784",6.1389
"2785",2785,"2785",128.6447
"2786",2786,"2786",84.7603
"2787",2787,"2787",4632.7818
"2790",2790,"2790",2481.3231
"2791",2791,"2791",184.9651
"2792",2792,"2792",369.6931
"2793",2793,"2793",648.0055
"2794",2794,"2794",1408.2659
"2795",2795,"2795",5307.525
"2797",2797,"2797",147.8245
"2798",2798,"2798",268.7089
"2799",2799,"2799",630.7998
"2800",2800,"2800",1993.951
"2803",2803,"2803",342.0982
"2804",2804,"2804",878.0498
"2805",2805,"2805",289.854
"2806",2806,"2806",519.6961
"2807",2807,"2807",299.7008
"2808",2808,"2808",242.5414
"2809",2809,"2809",163.0067
"2810",2810,"2810",2658.971
"2817",2817,"2817",961.4848
"2818",2818,"2818",471.7655
"2820",2820,"2820",2438.751
"2821",2821,"2821",2339.8603
"2822",2822,"2822",593.4726
"2823",2823,"2823",2782.3577
"2824",2824,"2824",4843.6001
"2825",2825,"2825",7298.9992
"2826",2826,"2826",1153.7892
"2827",2827,"2827",2872.9402
"2828",2828,"2828",2375.64
"2829",2829,"2829",6664.7075
"2830",2830,"2830",3013.6273
"2831",2831,"2831",22389.3648
"2832",2832,"2832",9695.0643
"2833",2833,"2833",5044.6093
"2834",2834,"2834",2828.2929
"2835",2835,"2835",30336.8248
"2836",2836,"2836",31517.8004
"2838",2838,"2838",3488.1482
"2839",2839,"2839",12283.4719
"2840",2840,"2840",62475.5917
"2842",2842,"2842",1317.6706
"2843",2843,"2843",1590.9155
"2844",2844,"2844",1825.4323
"2845",2845,"2845",67.0705
"2846",2846,"2846",591.8498
"2847",2847,"2847",98.897
"2848",2848,"2848",166.2149
"2849",2849,"2849",2801.764
"2850",2850,"2850",6004.6524
"2852",2852,"2852",1240.9911
"2864",2864,"2864",438.2458
"2865",2865,"2865",620.1745
"2866",2866,"2866",1198.7089
"2867",2867,"2867",1042.378
"2868",2868,"2868",777.9814
"2869",2869,"2869",2103.7978
"2870",2870,"2870",2300.4911
"2871",2871,"2871",4193.4835
"2873",2873,"2873",3202.9936
"2874",2874,"2874",1358.1326
"2875",2875,"2875",2311.0022
